step,time,omega_x,omega_y,omega_z,cross_residual,skew_residual
0.000000000000000000e+00,1.000000000000000666e+00,1.682941969615793676e+00,1.147263280926732243e+00,1.239712769302101725e+00,1.132209773400735140e-15,5.831206586368100730e-16
1.000000000000000000e+00,1.999999999999979350e+00,1.818594853651380516e+00,2.549507143503828566e-01,1.420735492403945477e+00,1.661629672422089734e-15,1.371024298005670644e-15
2.000000000000000000e+00,2.999999999999958256e+00,2.822400161198170832e-01,-7.572691568997483857e-01,1.498747493302026612e+00,9.550499576785472430e-16,6.718913446118859689e-16
3.000000000000000000e+00,3.999999999999936939e+00,-1.513604990615774026e+00,-1.413333511002965004e+00,1.454648713412847405e+00,2.482534153247273118e-16,3.692639165456276890e-16
4.000000000000000000e+00,4.999999999999915623e+00,-1.917848549326324870e+00,-1.404685030936225765e+00,1.299236072051995095e+00,6.304854800243424144e-16,5.057782566137403368e-16
